35KV 1# 主变用电量,data
90476192,
1372980,-89103212
90476400,89103420
1372980,-89103420
90476616,89103636
1372980,-89103636
90476816,89103836
1372980,-89103836
90477032,89104052
1372980,-89104052
90477240,89104260
1372980,-89104260
90477456,89104476
1372980,-89104476
90477656,89104676
1372980,-89104676
90477872,89104892
1372980,-89104892
90478080,89105100
1372980,-89105100
90478296,89105316
1372980,-89105316
90478496,89105516
1372980,-89105516
90478600,89105620
1372980,-89105620
90478816,89105836
1372980,-89105836
90479024,89106044
1372980,-89106044
90479240,89106260
1372980,-89106260
90479440,89106460
1372980,-89106460
90479656,89106676
1372980,-89106676
90479864,89106884
1372980,-89106884
90480080,89107100
1372980,-89107100
90480288,89107308
1372980,-89107308
90480496,89107516
1372980,-89107516
90480704,89107724
1373120,-89107584
90480920,89107800
1373120,-89107800
90481128,89108008
1373120,-89108008
90481440,89108320
1373120,-89108320
90481648,89108528
1373120,-89108528
90481864,89108744
1373120,-89108744
90482168,89109048
1373120,-89109048
90482280,89109160
1373120,-89109160
90482488,89109368
1373120,-89109368
90482704,89109584
1373120,-89109584
90482912,89109792
1373120,-89109792
90483128,89110008
1373120,-89110008
90483328,89110208
1373120,-89110208
90483648,89110528
1373120,-89110528
90483752,89110632
1373120,-89110632
90483952,89110832
1373120,-89110832
90484168,89111048
1373120,-89111048
90484376,89111256
1373120,-89111256
90484592,89111472
1373120,-89111472
90484792,89111672
1373120,-89111672
90485112,89111992
1373120,-89111992
90485216,89112096
1373120,-89112096
90485536,89112416
1373120,-89112416
90485640,89112520
1373120,-89112520
90485856,89112736
1373120,-89112736
90486168,89113048
1373120,-89113048
90486376,89113256
1373120,-89113256
90486480,89113360
1373120,-89113360
90486696,89113576
1373120,-89113576
90487000,89113880
90487112,112
1373120,-89113992
90487320,89114200
1373120,-89114200
90487536,89114416
1373120,-89114416
90487736,89114616
1373120,-89114616
90487952,89114832
1373120,-89114832
90488160,89115040
1373120,-89115040
90488376,89115256
1373120,-89115256
90488680,89115560
1373120,-89115560
90488792,89115672
1373120,-89115672
90489104,89115984
1373120,-89115984
90489208,89116088
1373260,-89115948
90489424,89116164
1373260,-89116164
90489624,89116364
1373260,-89116364
90489944,89116684
1373260,-89116684
90490048,89116788
1373260,-89116788
90490360,89117100
90490576,216
1373260,-89117316
90490680,89117420
1373260,-89117420
90490888,89117628
1373260,-89117628
90491208,89117948
1373260,-89117948
90491416,89118156
1373260,-89118156
90491624,89118364
1373260,-89118364
90491832,89118572
1373260,-89118572
90492048,89118788
90492144,96
